"","Name1","firstPerf1","Year.of.death"
"2223","Pintscher, Matthias","2009","2016"
"2225","Piovani, Nicola","2014","2016"
"2231","Piston, Walter","1933","1976"
"2241","Ponce, Manuel","1960","1948"
"2244","Poot, Marcel","1942","1988"
"2246","Popper, David","1899","1913"
"2249","Porter, Quincy","1936","1966"
"2251","Poulenc, Francis","1925","1963"
"2252","Pousseur, Henri","1970","2009"
"2259","Premru, Raymond","1998","1998"
"2266","Prokofiev, Sergei","1921","1953"
"2268","Pryor, Arthur","2015","1942"
"2269","Puccini, Giacomo","1900","1924"
"2274","Puts, Kevin","2005","2016"
"2281","Quilter, Roger","1908","1953"
"2285","Rabaud, Henri","1916","1949"
"2286","Rachmaninoff, Sergei","1909","1943"
"2293","Ran, Shulamit","1963","2016"
"2294","Rands, Bernard","1982","2016"
"2298","Rangstrom, Ture","1945","1947"
"2305","Ravel, Maurice","1909","1937"
"2307","Rawsthorne, Alan","1967","1971"
"2311","Read, Gardner","1937","2005"
"2322","Reed, Alfred","2007","2005"
"2328","Reger, Max","1911","1916"
"2330","Reich, Steve","1971","2016"
"2337","Reimann, Aribert","1973","2016"
"2341","Reinecke, Carl","1870","1910"
"2342","Reineke, Steven","2007","2016"
"2349","Reizenstein, Franz","1966","1968"
"2352","Respighi, Ottorino","1918","1936"
"2353","Revueltas, Silvestre","1949","1940"
"2356","Reynolds, Roger","1983","2016"
"2368","Riegger, Wallingford","1922","1961"
"2370","Ries, Franz","1900","1932"
"2372","Riesenfeld, Hugo","1919","1939"
"2374","Rieti, Vittorio","1924","1994"
"2376","Rihm, Wolfgang","1999","2016"
"2380","Riley, Terry","1993","2016"
"2385","Rimsky-Korsakov, Nikolai","1900","1908"
"2391","Rivier, Jean","1946","1987"
"2397","Rochberg, George","1952","2005"
"2411","Roger-Ducasse, Jean","1914","1954"
"2413","Rogers, Bernard","1919","1968"
"2416","Roland-Manuel, Alexis","2003","1966"
"2427","Rorem, Ned","1958","2016"
"2438","Rosenthal, Manuel","1946","2003"
"2447","Rossini, Gioachino","1842","1868"
"2448","Rota, Nino","1957","1979"
"2450","Rouse, Christopher","1983","2016"
"2454","Roussel, Albert","1914","1937"
"2459","Ruders, Poul","1985","2016"
"2463","Rudhyar, Dane","1974","1985"
"2465","Ruggles, Carl","1935","1971"
"2469","Ruo, Huang","2007","2016"
"2474","Rutter, John","2014","2016"
"2478","Ruzicka, Peter","2001","2016"
"2479","Rybicki, Wojciech","1937","2016"
"2483","Rzewski, Frederic","1971","2016"
"2489","Saariaho, Kaija","1999","2016"
"2506","Salonen, Esa-Pekka","2006","2016"
"2511","Salzedo, Carlos","1938","1961"
"2514","Sametz, Steven","1995","2016"
"2515","Saminsky, Lazare","1922","1959"
"2529","Sarasate, Pablo de","1878","1908"
"2531","Satie, Erik","1928","1925"
"2532","Satoh, Somei","1999","2016"
"2538","Scalero, Rosario","1921","1954"
"2543","Schafer, R. Murray","1971","2016"
"2544","Scharwenka, Franz Xaver","1878","1924"
"2547","Schelling, Ernest","1907","1939"
"2551","Schickele, Peter","1986","2016"
"2552","Schifrin, Lalo","2006","2016"
"2556","Schmidt, Franz","1928","1939"
"2557","Schmitt, Florent","1914","1958"
"2559","Schnabel, Artur","1948","1951"
"2561","Schnittke, Alfred","1985","1998"
"2564","Schoenberg, Arnold","1915","1951"
"2565","Schoenfield, Paul","1994","2016"
"2573","Schreker, Franz","1922","1934"
"2578","Schulhoff, Erwin","1984","1942"
"2579","Schuller, Gunther","1956","2016"
"2585","Schuman, William","1938","1992"
"2591","Schwantner, Joseph","1982","2016"
"2596","Schwartz, Elliott","2011","2016"
"2600","Schwartz, Jay","2013","2016"
"2602","Schwertsik, Kurt","2008","2016"
"2606","Schytte, Ludvig","1896","1909"
"2607","Sciarrino, Salvatore","2014","2016"
"2611","Scott, Cyril","1915","1970"
"2615","Scriabin, Alexander","1907","1915"
"2617","Sculthorpe, Peter","1983","2014"
"2632","Serocki, Kazimierz","1997","1981"
"2635","Sessions, Roger","1949","1985"
"2638","Sgambati, Giovanni","1904","1914"
"2641","Shankar, Ravi","1980","2012"
"2642","Shapero, Harold","1949","2013"
"2651","Shchedrin, Rodion","1966","2016"
"2658","Sheng, Bright","1992","2016"
"2667","Shore, Howard","2004","2016"
"2668","Shostakovich, Dmitri","1930","1975"
"2669","Shulman, Alan","1949","2002"
"2670","Sibelius, Jean","1901","1957"
"2675","Siegmeister, Elie","1945","1991"
"2677","Sierra, Roberto","1990","2016"
"2681","Sieveking, Martinus","1896","1950"
"2691","Sinding, Christian","1893","1941"
"2692","Sinigaglia, Leone","1910","1944"
"2693","Sinopoli, Giuseppe","1985","2001"
"2694","Skalkottas, Nikos","1954","1949"
"2697","Slonimsky, Nicolas","1951","1995"
"2698","Slonimsky, Sergei","1989","2016"
"2701","Smit, Leo","1961","1999"
"2702","Smit, Leo","1961","1943"
"2706","Smith, Hale","1970","2009"
"2712","Smyth, Ethel","1935","1944"
"2716","Sohal, Naresh","1985","2016"
"2720","Sollberger, Harvey","1973","2016"
"2727","Sorozabal, Pablo","1985","1988"
"2729","Sousa, John Philip","1900","1932"
"2732","Sowerby, Leo","1917","1968"
"2738","Spendiaryan, Alexander","1938","1936"
"2739","Spiegel, Laurie","1983","2016"
"2744","Spohr, Louis","1842","1859"
"2755","Starer, Robert","1956","2001"
"2760","Steiger, Rand","2009","2016"
"2763","Steinberg, Maximilian","1919","1946"
"2766","Stenhammar, Wilhelm","1988","1927"
"2773","Still, William Grant","1932","1978"
"2777","Stock, David","1977","2016"
"2779","Stockhausen, Karlheinz","1970","2007"
"2783","Stoessel, Albert","1923","1943"
"2786","Stolz, Robert","1940","1975"
"2794","Straus, Oscar","1940","1954"
"2795","Strauss, Eduard","1951","1916"
"2800","Strauss, Richard","1884","1949"
"2801","Stravinsky, Igor","1914","1971"
"2803","Street, Tison","1982","2016"
"2811","Strube, Gustav","1918","1953"
"2812","Stucky, Steven","2007","2016"
"2818","Suben, Joel Eric","2014","2016"
"2819","Subotnick, Morton","1976","2016"
"2821","Suesse, Dana","1955","1987"
"2822","Suk, Josef","1900","1935"
"2831","Svendsen, Johan","1878","1911"
"2832","Swanson, Howard","1950","1978"
"2835","Swift, Kay","1934","1993"
"2839","Szymanowski, Karol","1926","1937"
"2841","Tailleferre, Germaine","1924","1983"
"2844","Tal, Josef","1979","2008"
"2849","Tamberg, Eino","1995","2010"
"2854","Taneyev, Sergei","1978","1915"
"2855","Tansman, Alexandre","1925","1986"
"2867","Tcherepnin, Alexander","1924","1977"
"2868","Tcherepnin, Nikolai","1900","1945"
"2876","Theofanidis, Christopher","2010","2016"
"2878","Thomas, Andrew","1977","2016"
"2882","Thompson, Randall","1933","1984"
"2883","Thomson, Virgil","1941","1989"
"2891","Tippett, Michael","1973","1998"
"2894","Toch, Ernst","1922","1964"
"2897","Tomasi, Henri","1979","1971"
"2900","Torch, Sidney","2013","1990"
"2902","Torke, Michael","1992","2016"
"2909","Tournier, Marcel","2014","1951"
"2911","Tower, Joan","1982","2016"
"2919","Trojahn, Manfred","1982","2016"
"2924","Tubin, Eduard","1994","1982"
"2925","Tucci, Terig","1945","1973"
"2928","Turina, Joaquin","1919","1949"
"2930","Turnage, Mark-Anthony","1997","2016"
"2941","Ustvolskaya, Galina","2013","2006"
"2959","Vasks, Peteris","1999","2016"
"2960","Vaughan Williams, Ralph","1920","1958"
"2977","Villa-Lobos, Heitor","1938","1959"
"2991","Vivier, Claude","2013","1983"
"3000","Wagenaar, Bernard","1926","1971"
"3003","Wagner, Melinda","2006","2016"
"3007","Walker, George","1976","2016"
"3014","Wallach, Joelle","1992","2016"
"3016","Walton, William","1935","1983"
"3019","Ward, Robert","1948","2013"
"3025","Warlock, Peter","1938","1930"
"3027","Warren, Elinor Remick","1973","1991"
"3032","Watts, Wintter","1921","1962"
"3043","Weill, Kurt","1934","1950"
"3044","Weinberger, Jaromir","1929","1967"
"3059","Westlake, Nigel","2012","2016"
"3076","Wilder, Alec","2005","1980"
"3082","Williams, John","1985","2016"
"3094","Willson, Meredith","1928","1984"
"3096","Wilson, Olly","1976","2016"
"3106","Wolf-Ferrari, Ermanno","1911","1948"
"3107","Wolf, Hugo","1904","1903"
"3109","Wolfe, Julia","2013","2016"
"3116","Wolpe, Stefan","1951","1972"
"3120","Wood, Mary Knight","1896","1944"
"3127","Wuorinen, Charles","1964","2016"
"3133","Xenakis, Iannis","1963","2001"
"3139","Ye, Xiaogang","2012","2016"
"3141","Yim, Jay Alan","2010","2016"
"3154","Yuasa, Joji","1983","2016"
"3161","Zandonai, Riccardo","1913","1944"
"3178","Zilcher, Hermann","1935","1948"
"3181","Zimmermann, Bernd Alois","1974","1970"
"3183","Zivkovic, Djuro","2014","2016"
"3186","Zorn, John","1997","2016"
"3191","Zwilich, Ellen Taaffe","1987","2016"
